OrderID,OrderLineID,DateKey,CustomerID,ProductID,StoreID,Quantity,UnitPrice,DiscountPercent,SalesAmount,CostAmount,ShippingCost,OrderStatus
ORD-10001,ORD-10001-1,20241002,CUST-0025,PROD-0067,ST-009,1,1970.0,0.0,1970.0,1102.52,0.0,Cancelled
ORD-10002,ORD-10002-1,20231121,CUST-0079,PROD-0006,ST-011,1,30230.0,0.0,30230.0,20923.79,0.0,Completed
ORD-10002,ORD-10002-2,20231121,CUST-0079,PROD-0062,ST-011,1,10930.0,0.05,10383.5,7130.03,0.0,Completed
ORD-10003,ORD-10003-1,20240819,CUST-0064,PROD-0059,ST-008,2,9340.0,0.1,16812.0,11586.7,0.0,Completed
ORD-10004,ORD-10004-1,20230523,CUST-0106,PROD-0055,ST-010,1,11840.0,0.0,11840.0,6635.81,0.0,Completed
ORD-10004,ORD-10004-2,20230523,CUST-0106,PROD-0001,ST-010,1,4530.0,0.0,4530.0,2426.12,0.0,Completed
ORD-10005,ORD-10005-1,20240725,CUST-0057,PROD-0075,ST-000,2,2610.0,0.0,5220.0,3308.78,36.64,Completed
ORD-10006,ORD-10006-1,20241103,CUST-0149,PROD-0079,ST-001,1,1620.0,0.0,1620.0,1137.67,0.0,Completed
ORD-10007,ORD-10007-1,20230327,CUST-0197,PROD-0069,ST-000,1,1180.0,0.0,1180.0,848.43,113.48,Returned
ORD-10008,ORD-10008-1,20231122,CUST-0034,PROD-0063,ST-007,4,9290.0,0.05,35302.0,21336.88,0.0,Completed
ORD-10009,ORD-10009-1,20240226,CUST-0124,PROD-0031,ST-015,1,4390.0,0.2,3512.0,3154.36,0.0,Completed
ORD-10010,ORD-10010-1,20230823,CUST-0166,PROD-0069,ST-002,3,1180.0,0.0,3540.0,2545.29,0.0,Completed
ORD-10011,ORD-10011-1,20231002,CUST-0041,PROD-0080,ST-000,2,1260.0,0.05,2394.0,1537.84,67.4,Completed
ORD-10011,ORD-10011-2,20231002,CUST-0041,PROD-0013,ST-000,1,15750.0,0.2,12600.0,8688.15,79.02,Completed
ORD-10012,ORD-10012-1,20240615,CUST-0109,PROD-0048,ST-000,2,10690.0,0.05,20311.0,11269.6,137.9,Completed
ORD-10013,ORD-10013-1,20230429,CUST-0091,PROD-0043,ST-000,1,650.0,0.0,650.0,417.59,141.82,Completed
ORD-10013,ORD-10013-2,20230429,CUST-0091,PROD-0031,ST-000,2,4390.0,0.1,7902.0,6308.72,134.98,Completed
ORD-10014,ORD-10014-1,20240625,CUST-0191,PROD-0049,ST-002,1,3260.0,0.0,3260.0,1841.77,0.0,Completed
ORD-10015,ORD-10015-1,20230404,CUST-0093,PROD-0001,ST-001,2,4530.0,0.0,9060.0,4852.24,0.0,Completed
ORD-10016,ORD-10016-1,20241102,CUST-0100,PROD-0042,ST-012,1,14500.0,0.1,13050.0,10298.12,0.0,Completed
ORD-10017,ORD-10017-1,20240604,CUST-0160,PROD-0070,ST-000,4,1750.0,0.0,7000.0,4974.76,143.69,Completed
ORD-10017,ORD-10017-2,20240604,CUST-0160,PROD-0039,ST-000,4,10260.0,0.05,38988.0,25416.88,147.55,Completed
ORD-10018,ORD-10018-1,20240307,CUST-0139,PROD-0041,ST-009,3,11810.0,0.0,35430.0,21874.23,0.0,Completed
ORD-10018,ORD-10018-2,20240307,CUST-0139,PROD-0078,ST-009,1,1020.0,0.0,1020.0,599.08,0.0,Completed
ORD-10019,ORD-10019-1,20230207,CUST-0122,PROD-0030,ST-000,2,3060.0,0.1,5508.0,3529.32,74.94,Completed
ORD-10020,ORD-10020-1,20230919,CUST-0190,PROD-0008,ST-015,1,15680.0,0.0,15680.0,10516.89,0.0,Completed
ORD-10021,ORD-10021-1,20240630,CUST-0177,PROD-0053,ST-010,1,12030.0,0.0,12030.0,7726.31,0.0,Completed
ORD-10022,ORD-10022-1,20231111,CUST-0131,PROD-0023,ST-004,1,2850.0,0.0,2850.0,1503.84,0.0,Completed
ORD-10023,ORD-10023-1,20231129,CUST-0073,PROD-0057,ST-008,1,9050.0,0.0,9050.0,4859.52,0.0,Completed
ORD-10023,ORD-10023-2,20231129,CUST-0073,PROD-0055,ST-008,1,11840.0,0.0,11840.0,6635.81,0.0,Completed
ORD-10023,ORD-10023-3,20231129,CUST-0073,PROD-0065,ST-008,1,1070.0,0.05,1016.5,588.35,0.0,Completed
ORD-10024,ORD-10024-1,20241103,CUST-0109,PROD-0018,ST-015,2,660.0,0.0,1320.0,814.26,0.0,Completed
ORD-10025,ORD-10025-1,20230225,CUST-0127,PROD-0023,ST-005,2,2850.0,0.0,5700.0,3007.68,0.0,Completed
ORD-10026,ORD-10026-1,20241222,CUST-0082,PROD-0075,ST-007,3,2610.0,0.0,7830.0,4963.17,0.0,Completed
ORD-10026,ORD-10026-2,20241222,CUST-0082,PROD-0014,ST-007,1,21550.0,0.0,21550.0,14704.74,0.0,Completed
ORD-10027,ORD-10027-1,20240502,CUST-0195,PROD-0030,ST-012,2,3060.0,0.0,6120.0,3529.32,0.0,Returned
ORD-10028,ORD-10028-1,20240316,CUST-0061,PROD-0037,ST-012,2,11140.0,0.0,22280.0,13318.36,0.0,Cancelled
ORD-10028,ORD-10028-2,20240316,CUST-0061,PROD-0039,ST-012,2,10260.0,0.0,20520.0,12708.44,0.0,Cancelled
